"Weight","Seed","L_R_Init","L_R_Final","L_R_OK","R_R_Init","R_R_Final","R_R_OK","L_T_Init","L_T_Final","R_T_Init","R_T_Final","Dice","Time"
"0.05","2032","0.903090059757233","0.36369451880455","True","2.22052502632141","0.84857565164566","True","2.24727869033813","0.730926692485809","1.30266988277435","0.602636396884918","0.980340798695882","0.812025100021856"
"0.05","2033","1.13228750228882","0.481326580047607","True","1.79362368583679","1.28450870513916","True","2.75153279304504","0.731819272041321","1.17048704624176","0.73583447933197","0.980760604143143","0.754753500019433"
"0.05","2034","1.12047398090363","1.29089140892029","False","1.61495184898376","1.27840054035187","True","1.13772773742676","0.699721276760101","1.99483847618103","0.742078125476837","0.97993211944898","0.751020600000629"
"0.05","2035","2.50639677047729","1.44320023059845","True","0.868631064891815","0.766683101654053","True","2.25482773780823","0.794768869876862","0.689363837242126","0.686276614665985","0.97285528977712","0.734732599987183"
"0.075","2026","1.95384502410889","0.840233206748962","True","1.22077143192291","0.663228631019592","True","0.66120570898056","0.710161745548248","1.52770984172821","0.604682147502899","0.98287762204806","0.761172800004715"
"0.075","2027","1.17702853679657","0.265408217906952","True","2.40680265426636","1.02105832099915","True","1.91279530525208","0.749968826770782","1.59135568141937","0.6889328956604","0.986010213692983","0.784718600014457"
"0.075","2028","1.40025579929352","1.25242066383362","True","1.28206896781921","0.626200914382935","True","2.03177213668823","0.770378470420837","0.95248556137085","0.645657956600189","0.97489325205485","0.733476299996255"
"0.075","2029","1.51955497264862","0.789319217205048","True","0.567862331867218","0.925772786140442","False","0.768460988998413","0.693132281303406","0.151102960109711","0.677191376686096","0.983176797628403","0.765561400010483"
"0.075","2030","2.40794086456299","4.15727519989014","False","1.20755553245544","1.07447195053101","True","3.02280616760254","1.84011042118073","1.98536574840546","0.633751809597015","0.862738827864329","0.690639799984638"
"0.075","2031","1.08390069007874","0.629939496517181","True","2.25776100158691","1.08173215389252","True","1.48286211490631","0.715568244457245","1.54060792922974","0.696669578552246","0.986947546402613","0.840012600005139"
"0.075","2032","0.903090059757233","0.544645488262177","True","2.22052502632141","0.696612417697906","True","2.24727869033813","0.806285262107849","1.30266988277435","0.594275236129761","0.965961227814356","0.793311100016581"
"0.075","2033","1.13228750228882","0.726315855979919","True","1.79362368583679","0.627449631690979","True","2.75153279304504","0.752937376499176","1.17048704624176","0.619069159030914","0.983662188053131","0.827670099999523"
"0.075","2034","1.12047398090363","0.779339909553528","True","1.61495184898376","1.52212846279144","True","1.13772773742676","0.687842667102814","1.99483847618103","0.752346992492676","0.981639891862869","0.822065099986503"
"0.075","2035","2.50639677047729","1.23669731616974","True","0.868631064891815","0.413068324327469","True","2.25482773780823","0.700028359889984","0.689363837242126","0.604882895946503","0.980281819899877","0.792415599978995"
