"Test","Seed","RotationDeg","TranslationMm","JointsDeg","InitialDice","FinalDice","LeftDice","RightDice","PassOverall","PassBothArms","L_T","R_T","L_R","R_R","L_J","R_J"
"R3_T3_J5","2027","3","3","5","0.215953767610093","0.215953767610093","0.104670917615294","0.327236617604891","False","False","5.73839235305786","4.77406072616577","3.54309511184692","7.22716093063354","0.504782855510712","5.5238471031189"
"R3_T3_J5","2028","3","3","5","0.257162473862991","0.257162473862991","0.0434865201823413","0.47083842754364","False","False","6.0953221321106","2.85745882987976","4.21231079101563","3.86056900024414","3.00642061233521","2.69953799247742"
"R3_T3_J5","2029","3","3","5","0.725858469804128","0.958292702833811","0.935896297295888","0.980689108371735","True","False","0.677709460258484","0.587761044502258","0.828507125377655","0.609093427658081","3.28421950340271","1.51851987838745"
"R3_T3_J5","2030","3","3","5","0.261966451071203","0.261966451071203","0.0091164093464613","0.514816492795944","False","False","9.0684118270874","5.95608997344971","7.21727228164673","3.6198513507843","6.13929271697998","2.93691420555115"
"R3_T3_J5","2031","3","3","5","0.566195257008076","0.80041212340196","0.971706668535868","0.629117578268051","False","False","0.733281970024109","3.69938158988953","1.32824862003326","7.08449029922485","2.8974461555481","2.7986102104187"
"R3_T3_J5","2032","3","3","5","0.300755006959662","0.392345319191615","0.325621475776037","0.459069162607193","False","False","5.13918161392212","3.19031929969788","4.04263734817505","6.2055459022522","2.79917335510254","3.38748812675476"
"R3_T3_J5","2033","3","3","5","0.567804704109828","0.655005897084872","0.343545407056808","0.966466387112935","False","False","11.2827129364014","0.656377136707306","5.16558456420898","2.03182148933411","2.31671047210693","3.82351279258728"
"R3_T3_J5","2034","3","3","5","0.188989901294311","0.188989901294311","0.15182047833999","0.226159324248632","False","False","3.41318130493164","5.98451089859009","3.36254954338074","4.8232045173645","3.95012378692627","4.34102725982666"
"R3_T3_J5","2035","3","3","5","0.382270187139511","0.613730366031329","0.258742858966192","0.968717873096466","False","False","17.028003692627","0.774839401245117","6.2875280380249","1.90083980560303","3.2105405330658","6.75066518783569"
"R5_T5_J5","2026","5","5","5","0.106242669125398","0.106242669125398","0.125510265429815","0.0869750728209813","False","False","3.30602979660034","7.63854122161865","9.7826337814331","6.1307258605957","2.05908584594727","5.33985280990601"
"R5_T5_J5","2027","5","5","5","0.0647277617827058","0.0647277617827058","0.00886739231646061","0.120588131248951","False","False","9.56398296356201","7.95677280426025","5.92532920837402","12.0564661026001","0.504782855510712","5.5238471031189"
